zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.870907,-83.790695,2295.0,4,3.0,2200,"806 Oliver Ave, Seymour, TN 37865",112270191,/homedetails/806-Oliver-Ave-Seymour-TN-37865/40806718_zpid/
37920,35.95712,-83.95341,1500.0,2,1.0,754,"2844 Brock Ave, Knoxville, TN 37919",1751046608,/homedetails/2844-Brock-Ave-Knoxville-TN-37919/41654885_zpid/
37920,35.950436,-83.88599,1950.0,3,2.0,1300,"3032 Dodd St SE, Knoxville, TN 37920",582825934,/homedetails/3032-Dodd-St-SE-Knoxville-TN-37920/41669539_zpid/
37920,35.919777,-83.87779,1795.0,3,1.0,1200,"6100 Easton Rd, Knoxville, TN 37920",1293179546,/homedetails/6100-Easton-Rd-Knoxville-TN-37920/41682880_zpid/
37920,35.90228,-83.86695,1700.0,2,2.0,1240,"818 Wildview Way, Knoxville, TN 37920",2194105124,/homedetails/818-Wildview-Way-Knoxville-TN-37920/41695627_zpid/
37920,35.94809,-83.98198,1790.0,2,1.5,,"612 Hillview Rd #1, Knoxville, TN 37919",3885038937,/homedetails/612-Hillview-Rd-1-Knoxville-TN-37919/2055487493_zpid/
37920,35.939655,-83.93373,2000.0,2,1.5,1400,"1958 Cherokee Bluff Dr, Knoxville, TN 37920",4500593969,/homedetails/1958-Cherokee-Bluff-Dr-Knoxville-TN-37920/41668055_zpid/
37920,35.88718,-83.89642,2710.0,3,2.5,2700,"2421 Amber Dawn Ln, Knoxville, TN 37920",3455703198,/homedetails/2421-Amber-Dawn-Ln-Knoxville-TN-37920/84132127_zpid/
37920,35.95572,-83.9059,1575.0,2,1.0,750,"2300 Davenport Rd #A, Knoxville, TN 37920",4158065180,/homedetails/2300-Davenport-Rd-A-Knoxville-TN-37920/2055537864_zpid/
37920,35.953552,-83.94976,1245.0,2,1.0,714,"2751 Jersey Ave, Knoxville, TN",7049484784,/b/2751-jersey-ave-knoxville-tn-9F2fmx/
37920,35.9433,-83.88359,1700.0,3,2.5,1850,"4219 Sevierville Pike, Knoxville, TN 37920",6454213898,/homedetails/4219-Sevierville-Pike-Knoxville-TN-37920/41671153_zpid/
37920,35.96018,-83.80057,1400.0,3,1.0,1000,"3009 Cox Ln #A, Knoxville, TN 37914",8242332239,/b/3009-cox-ln.-knoxville-tn-9F2MTP/
37920,35.925797,-83.87125,2595.0,4,3.0,2800,"505 Tedlo Ln, Knoxville, TN 37920",10450812711,/homedetails/505-Tedlo-Ln-Knoxville-TN-37920/41681819_zpid/
37920,35.919884,-83.86324,1695.0,3,1.0,1252,"6520 Jackie Ln, Knoxville, TN 37920",6185923936,/homedetails/6520-Jackie-Ln-Knoxville-TN-37920/41683916_zpid/
37920,35.929398,-83.99496,1100.0,1,1.0,832,"5709 Lyons View Pike APT 6205, Knoxville, TN 37919",15964406,/homedetails/5709-Lyons-View-Pike-APT-6205-Knoxville-TN-37919/41678781_zpid/
37920,35.921238,-83.86083,2650.0,3,2.0,1493,"109 Longvale Dr SE, Knoxville, TN 37920",162501656,/homedetails/109-Longvale-Dr-SE-Knoxville-TN-37920/2067963102_zpid/
37920,35.952766,-83.89226,2500.0,4,2.0,1416,"1859 Buford St, Knoxville, TN 37920",325556029,/homedetails/1859-Buford-St-Knoxville-TN-37920/41669369_zpid/
37920,35.965523,-83.91804,2200.0,0,1.0,1100,"430 S Gay St APT 101, Knoxville, TN 37902",355309991,/homedetails/430-S-Gay-St-APT-101-Knoxville-TN-37902/2098773675_zpid/
37920,35.93096,-83.90566,2000.0,3,1.0,1500,"4507 Smelser Rd, Knoxville, TN 37920",687788935,/homedetails/4507-Smelser-Rd-Knoxville-TN-37920/41681628_zpid/
37920,35.902573,-83.85275,1875.0,2,2.0,1200,"415 Abner Cruze Rd, Knoxville, TN 37920",1181429059,/homedetails/415-Abner-Cruze-Rd-Knoxville-TN-37920/186225115_zpid/
37920,35.9162,-83.6948,1975.0,4,2.0,1800,"1210 Appaloosa Way, Sevierville, TN 37876",584058374,/homedetails/1210-Appaloosa-Way-Sevierville-TN-37876/2146047531_zpid/
37920,35.917027,-83.89683,1595.0,1,1.0,780,"807 Oliver Rd #D, Knoxville, TN 37920",1029996759,/homedetails/807-Oliver-Rd-D-Knoxville-TN-37920/2062396783_zpid/
37920,35.913197,-83.78978,3200.0,3,2.0,1586,"1104 E Hendron Chapel Rd, Knoxville, TN 37920",64619982,/homedetails/1104-E-Hendron-Chapel-Rd-Knoxville-TN-37920/41684518_zpid/
37920,35.852154,-83.98634,1550.0,2,2.0,1216,"3709 Hampton Ln, Louisville, TN 37777",617499959,/homedetails/3709-Hampton-Ln-Louisville-TN-37777/119349221_zpid/
37920,35.9465,-83.88991,1795.0,2,1.0,806,"119 Pearson Ave, Knoxville, TN 37920",947970628,/homedetails/119-Pearson-Ave-Knoxville-TN-37920/41670434_zpid/
