zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.919777,-83.87779,"$1,795/mo",3,1.0,1200,"6100 Easton Rd, Knoxville, TN 37920",928166795,/homedetails/6100-Easton-Rd-Knoxville-TN-37920/41682880_zpid/
37920,35.95712,-83.95341,"$1,500/mo",2,1.0,754,"2844 Brock Ave, Knoxville, TN 37919",1386033857,/homedetails/2844-Brock-Ave-Knoxville-TN-37919/41654885_zpid/
37920,35.939445,-83.91278,"$2,000/mo",3,2.0,1617,"268 Maryville Pike, Knoxville, TN 37920",1531961290,/homedetails/268-Maryville-Pike-Knoxville-TN-37920/41671641_zpid/
37920,35.870907,-83.790695,"$2,295/mo",4,3.0,2200,"806 Oliver Ave, Seymour, TN 37865",3688806329,/homedetails/806-Oliver-Ave-Seymour-TN-37865/40806718_zpid/
37920,35.90228,-83.86695,"$1,700/mo",2,2.0,1240,"818 Wildview Way, Knoxville, TN 37920",1829092373,/homedetails/818-Wildview-Way-Knoxville-TN-37920/41695627_zpid/
37920,35.88718,-83.89642,"$2,710/mo",3,2.5,2700,"2421 Amber Dawn Ln, Knoxville, TN 37920",3090690447,/homedetails/2421-Amber-Dawn-Ln-Knoxville-TN-37920/84132127_zpid/
37920,35.94809,-83.98198,"$1,790/mo",2,1.5,,"612 Hillview Rd #1, Knoxville, TN 37919",3520026186,/homedetails/612-Hillview-Rd-1-Knoxville-TN-37919/2055487493_zpid/
37920,35.939655,-83.93373,"$2,000/mo",2,1.5,1400,"1958 Cherokee Bluff Dr, Knoxville, TN 37920",4135581218,/homedetails/1958-Cherokee-Bluff-Dr-Knoxville-TN-37920/41668055_zpid/
37920,35.95572,-83.9059,"$1,650/mo",2,1.0,750,"2300 Davenport Rd #A, Knoxville, TN 37920",3793052429,/homedetails/2300-Davenport-Rd-A-Knoxville-TN-37920/2055537864_zpid/
37920,35.953552,-83.94976,"$1,245+/mo",2,1.0,714,"2751 Jersey Ave, Knoxville, TN",6684472033,/b/2751-jersey-ave-knoxville-tn-9F2fmx/
37920,35.9433,-83.88359,"$1,700/mo",3,2.5,1850,"4219 Sevierville Pike, Knoxville, TN 37920",6089201147,/homedetails/4219-Sevierville-Pike-Knoxville-TN-37920/41671153_zpid/
37920,35.96018,-83.80057,"$1,400/mo",3,1.0,1000,"3009 Cox Ln #A, Knoxville, TN 37914",7877319488,/b/3009-cox-ln.-knoxville-tn-9F2MTP/
37920,35.925797,-83.87125,"$2,595/mo",4,3.0,2800,"505 Tedlo Ln, Knoxville, TN 37920",10085799960,/homedetails/505-Tedlo-Ln-Knoxville-TN-37920/41681819_zpid/
37920,35.919884,-83.86324,"$1,795/mo",3,1.0,1252,"6520 Jackie Ln, Knoxville, TN 37920",5820911185,/homedetails/6520-Jackie-Ln-Knoxville-TN-37920/41683916_zpid/
37920,35.90484,-83.99423,"$2,400/mo",3,2.0,1540,"1731 Polkwright Ln, Knoxville, TN 37919",58329455,/homedetails/1731-Polkwright-Ln-Knoxville-TN-37919/41693660_zpid/
37920,35.9162,-83.6948,"$2,100/mo",4,2.0,1800,"1210 Appaloosa Way, Sevierville, TN 37876",219045623,/homedetails/1210-Appaloosa-Way-Sevierville-TN-37876/2146047531_zpid/
37920,35.93096,-83.90566,"$2,000/mo",3,1.0,1500,"4507 Smelser Rd, Knoxville, TN 37920",322776184,/homedetails/4507-Smelser-Rd-Knoxville-TN-37920/41681628_zpid/
37920,35.902573,-83.85275,"$1,875/mo",2,2.0,1200,"415 Abner Cruze Rd, Knoxville, TN 37920",816416308,/homedetails/415-Abner-Cruze-Rd-Knoxville-TN-37920/186225115_zpid/
37920,35.852154,-83.98634,"$1,550/mo",2,2.0,1216,"3709 Hampton Ln, Louisville, TN 37777",252487208,/homedetails/3709-Hampton-Ln-Louisville-TN-37777/119349221_zpid/
37920,35.917027,-83.89683,"$1,675/mo",1,1.0,780,"807 Oliver Rd #D, Knoxville, TN 37920",664984008,/homedetails/807-Oliver-Rd-D-Knoxville-TN-37920/2062396783_zpid/
37920,35.9465,-83.88991,"$1,795/mo",2,1.0,806,"119 Pearson Ave, Knoxville, TN 37920",582957877,/homedetails/119-Pearson-Ave-Knoxville-TN-37920/41670434_zpid/
37920,35.95759,-83.882744,"$1,950/mo",2,1.0,800,"2206 Maplewood Dr, Knoxville, TN 37920",1198998188,/homedetails/2206-Maplewood-Dr-Knoxville-TN-37920/41656000_zpid/
37920,35.910076,-83.74688,"$1,900/mo",3,2.0,1200,"1408 Hansard Dr, Seymour, TN 37865",1334015466,/homedetails/1408-Hansard-Dr-Seymour-TN-37865/42475992_zpid/
37920,35.91162,-83.93718,$500/mo,0,1.0,864,"2309 Maryville Pike, Knoxville, TN 37920",302340353,/homedetails/2309-Maryville-Pike-Knoxville-TN-37920/299824606_zpid/
37920,35.964333,-83.920746,"$3,100/mo",2,2.0,1200,"505 Union Ave APT 209, Knoxville, TN 37902",666939103,/homedetails/505-Union-Ave-APT-209-Knoxville-TN-37902/186228037_zpid/
37920,35.94837,-83.97154,"$2,000/mo",2,2.0,1000,"3965 Greenleaf Ave, Knoxville, TN 37919",497053446,/homedetails/3965-Greenleaf-Ave-Knoxville-TN-37919/41666394_zpid/
37920,35.95866,-83.93833,"$3,600/mo",3,2.5,1200,"1927 Highland Ave #1927, Knoxville, TN 37916",1026649226,/homedetails/1927-Highland-Ave-1927-Knoxville-TN-37916/2073175755_zpid/
37920,35.957188,-83.981415,"$2,300/mo",3,1.0,1586,"4308 Lonas Dr, Knoxville, TN 37909",3089129973,/homedetails/4308-Lonas-Dr-Knoxville-TN-37909/41666023_zpid/
37920,35.935772,-83.88115,"$1,000/mo",2,1.0,733,"496 E Red Bud Rd, Knoxville, TN 37920",668813477,/homedetails/496-E-Red-Bud-Rd-Knoxville-TN-37920/55215285_zpid/
37920,35.9209,-83.94865,"$3,200/mo",3,2.5,2314,"2338 Birch Hollow Ln, Knoxville, TN 37920",318751210,/homedetails/2338-Birch-Hollow-Ln-Knoxville-TN-37920/2056063466_zpid/
37920,35.9412,-83.90536,"$1,595/mo",1,1.0,750,"3520B Southwood Dr SE, Knoxville, TN 37920",660484512,/homedetails/3520B-Southwood-Dr-SE-Knoxville-TN-37920/2066534589_zpid/
37920,35.92773,-83.867676,"$4,000/mo",3,2.0,2100,"6112 Sevierville Pike, Knoxville, TN 37920",161824528,/homedetails/6112-Sevierville-Pike-Knoxville-TN-37920/41683788_zpid/
37920,35.960403,-83.92832,"$1,250/mo",1,1.0,507,"510 14th St APT 204, Knoxville, TN 37916",1056424684,/homedetails/510-14th-St-APT-204-Knoxville-TN-37916/41654305_zpid/
37920,35.95057,-83.98169,"$1,750/mo",2,2.0,900,"912 Hollywood Rd, Knoxville, TN 37919",933296990,/homedetails/912-Hollywood-Rd-Knoxville-TN-37919/41666595_zpid/
37920,35.950783,-83.99468,"$2,900/mo",4,2.0,3124,"4908 Lonas Dr, Knoxville, TN 37909",1384636738,/homedetails/4908-Lonas-Dr-Knoxville-TN-37909/41666810_zpid/
37920,35.967117,-83.90258,"$2,800/mo",4,2.0,1426,"1425 Isabella Cir, Knoxville, TN 37915",1588738107,/homedetails/1425-Isabella-Cir-Knoxville-TN-37915/41655817_zpid/
37920,35.899277,-83.93524,"$2,590/mo",3,2.5,2160,"2752 Minuteman Ln, Knoxville, TN 37920",2219974787,/homedetails/2752-Minuteman-Ln-Knoxville-TN-37920/2060856881_zpid/
37920,35.939377,-83.93551,"$2,500/mo",3,3.0,1758,"1824 Cherokee Bluff Dr, Knoxville, TN 37920",2754427782,/homedetails/1824-Cherokee-Bluff-Dr-Knoxville-TN-37920/41667963_zpid/
37920,35.95073,-83.91815,"$3,000/mo",3,2.0,1300,"511 Augusta Ave, Knoxville, TN 37920",1775354507,/homedetails/511-Augusta-Ave-Knoxville-TN-37920/41669112_zpid/
37920,35.918766,-83.99698,"$4,900/mo",4,5.5,5400,"6435 Cobblecreek Way, Knoxville, TN 37919",930391826,/homedetails/6435-Cobblecreek-Way-Knoxville-TN-37919/80223352_zpid/
37920,35.94977,-83.89002,"$1,900/mo",2,1.0,900,"1736 Price Ave, Knoxville, TN 37920",828865511,/homedetails/1736-Price-Ave-Knoxville-TN-37920/41670076_zpid/
37920,35.963055,-83.929535,"$1,600/mo",2,1.0,1000,"1309 Forest Ave APT 1, Knoxville, TN 37916",1454161279,/homedetails/1309-Forest-Ave-APT-1-Knoxville-TN-37916/299822708_zpid/
37920,35.956337,-83.90246,"$1,600/mo",2,1.0,896,"1110 Valley Ave, Knoxville, TN 37920",1458253857,/homedetails/1110-Valley-Ave-Knoxville-TN-37920/41669168_zpid/
37920,35.953396,-83.8853,"$2,200/mo",3,1.0,885,"2811 Hackman St, Knoxville, TN 37920",857131739,/homedetails/2811-Hackman-St-Knoxville-TN-37920/41669476_zpid/
37920,35.96718,-83.92211,"$3,500/mo",3,3.5,1600,"415 W Vine Ave APT 9, Knoxville, TN 37902",2061602630,/homedetails/415-W-Vine-Ave-APT-9-Knoxville-TN-37902/41653056_zpid/
37920,35.94864,-83.982635,"$1,700/mo",2,1.0,814,"4509 Hillview Rd, Knoxville, TN 37919",319471857,/homedetails/4509-Hillview-Rd-Knoxville-TN-37919/41666617_zpid/
37920,35.915154,-83.70021,"$4,200/mo",4,3.5,4066,"1462 Ellis Woods Loop, Sevierville, TN 37876",583028175,/homedetails/1462-Ellis-Woods-Loop-Sevierville-TN-37876/62899469_zpid/
37920,35.964928,-83.91892,"$7,500/mo",2,2.5,3043,"325 Union Ave, Knoxville, TN 37902",2480849882,/homedetails/325-Union-Ave-Knoxville-TN-37902/2055243786_zpid/
37920,35.94898,-83.99959,"$2,400/mo",4,2.0,1632,"5201 Lonas Dr #5201, Knoxville, TN 37909",2559198662,/homedetails/5201-Lonas-Dr-5201-Knoxville-TN-37909/2055925575_zpid/
37920,35.94997,-83.98095,"$2,100/mo",2,2.5,1208,"4333 Apex Dr, Knoxville, TN 37919",4981369012,/homedetails/4333-Apex-Dr-Knoxville-TN-37919/41666527_zpid/
37920,35.93081,-83.966934,"$3,700/mo",4,3.0,2500,"3858 Sequoyah Ave, Knoxville, TN 37919",1531926512,/homedetails/3858-Sequoyah-Ave-Knoxville-TN-37919/41679979_zpid/
37920,35.957916,-83.9336,"$1,250/mo",1,1.0,336,"1700 Clinch Ave APT 313, Knoxville, TN 37916",1298774326,/homedetails/1700-Clinch-Ave-APT-313-Knoxville-TN-37916/41654623_zpid/
37920,35.96752,-83.97025,"$1,800/mo",3,1.5,1440,"2118 Piedmont St, Knoxville, TN 37921",2578243787,/homedetails/2118-Piedmont-St-Knoxville-TN-37921/41652175_zpid/
37920,35.968147,-83.9391,"$2,075/mo",3,3.0,1320,"1614 Gross Ave, Knoxville, TN 37921",2891763777,/homedetails/1614-Gross-Ave-Knoxville-TN-37921/60149580_zpid/
37920,35.884598,-83.748146,$800/mo,2,1.0,,"416 N Pitner Rd, Seymour, TN 37865",170516786,/homedetails/416-N-Pitner-Rd-Seymour-TN-37865/2054690205_zpid/
37920,35.939774,-83.93417,"$2,000/mo",3,2.5,1750,"1912 Cherokee Bluff Dr, Knoxville, TN 37920",2727079852,/homedetails/1912-Cherokee-Bluff-Dr-Knoxville-TN-37920/41668019_zpid/
37920,35.869274,-83.76877,"$1,950/mo",3,1.5,1540,"414 Black Oak Ridge Rd, Seymour, TN 37865",1168243227,/homedetails/414-Black-Oak-Ridge-Rd-Seymour-TN-37865/42482992_zpid/
37920,35.94479,-83.8928,"$1,950/mo",3,2.0,1095,"3604 Decatur Dr, Knoxville, TN 37920",1194184421,/homedetails/3604-Decatur-Dr-Knoxville-TN-37920/41671063_zpid/
37920,35.943474,-83.986336,"$2,000/mo",2,2.5,1425,"4039 Heather Ct #4039, Knoxville, TN 37919",2503348490,/homedetails/4039-Heather-Ct-4039-Knoxville-TN-37919/2068701256_zpid/
37920,35.95723,-83.8934,"$1,650/mo",3,1.0,864,"1712 Hillwood Dr, Knoxville, TN 37920",241010992,/homedetails/1712-Hillwood-Dr-Knoxville-TN-37920/41656050_zpid/
37920,35.925327,-83.919685,"$3,100/mo",3,2.0,1200,"1030 Avenue A, Knoxville, TN 37920",990444105,/homedetails/1030-Avenue-A-Knoxville-TN-37920/41682367_zpid/
37920,35.962505,-83.928276,"$1,700/mo",1,1.0,598,"1211 Highland Ave APT 101, Knoxville, TN 37916",4901662425,/homedetails/1211-Highland-Ave-APT-101-Knoxville-TN-37916/41654241_zpid/
37920,35.94495,-83.8874,"$1,200/mo",2,1.0,1074,"3529 Feathers St, Knoxville, TN 37920",1227970201,/homedetails/3529-Feathers-St-Knoxville-TN-37920/41670294_zpid/
37920,35.84926,-83.98786,"$1,200/mo",2,1.5,1150,"3610 Kelly Cir #3610-B, Louisville, TN 37777",13561942,/b/03610k-louisville-tn-9DyLcV/
37920,35.919334,-83.941635,"$2,400/mo",3,2.5,1998,"4910 Briar Rock Ln, Knoxville, TN 37920",43762997,/homedetails/4910-Briar-Rock-Ln-Knoxville-TN-37920/98897491_zpid/
37920,35.943012,-83.90264,"$1,900/mo",2,2.0,1050,"433 Taliwa Dr, Knoxville, TN 37920",190369156,/homedetails/433-Taliwa-Dr-Knoxville-TN-37920/41670837_zpid/
37920,35.943516,-83.985954,"$1,800/mo",2,2.5,1450,"4011 Heather Ct, Knoxville, TN 37919",192009667,/homedetails/4011-Heather-Ct-Knoxville-TN-37919/41667213_zpid/
37920,35.9019,-83.82789,"$1,300/mo",2,1.0,815,"1424 Tipton Station Rd, Knoxville, TN 37920",312439083,/homedetails/1424-Tipton-Station-Rd-Knoxville-TN-37920/2080437086_zpid/
37920,35.947037,-83.998375,"$2,250/mo",3,2.0,1168,"1505 Holman Dr, Knoxville, TN 37909",744529264,/homedetails/1505-Holman-Dr-Knoxville-TN-37909/41666865_zpid/
37920,35.943813,-83.88838,"$1,750/mo",2,1.0,975,"3608 S Haven Rd SE, Knoxville, TN 37920",743197964,/homedetails/3608-S-Haven-Rd-SE-Knoxville-TN-37920/41671136_zpid/
