zipCode,price
10001,3765.0
10001,3935.0
10001,5390.0
10001,3795.0
10001,4255.0
10001,4833.0
10001,4202.0
10001,3997.0
10001,5769.0
10001,3594.0
10001,3851.0
10001,4034.0
10001,5807.0
10001,4094.0
10001,6992.0
10001,7649.0
10001,5973.0
10001,4660.0
10001,8812.0
10001,3720.0
10001,5766.0
10001,3596.0
10001,4526.0
10001,3295.0
10001,4195.0
10001,5775.0
10001,5995.0
10001,3495.0
10001,3500.0
10001,4050.0
10001,3020.0
10001,7470.0
10001,5330.0
10001,3795.0
10001,2850.0
10001,4850.0
10001,3295.0
10001,2750.0
10001,5200.0
10001,4995.0
10001,6154.0
10001,3200.0
10001,1900.0
10001,3595.0
10001,2888.0
10001,5800.0
10001,4495.0
10001,2700.0
10001,6600.0
10001,3290.0
10001,5295.0
10001,3200.0
10001,3195.0
10001,4400.0
10001,3251.0
10001,5500.0
10001,2825.0
10001,5395.0
10001,4150.0
10001,7495.0
10001,6800.0
10001,5000.0
10001,3262.0
10001,4300.0
10001,3000.0
10001,9995.0
10001,7000.0
10001,4515.0
10001,3200.0
10001,5750.0
10001,3700.0
10001,9250.0
10001,3525.0
10001,3723.0
10001,9000.0
10001,3995.0
10001,11000.0
10001,7195.0
10001,5350.0
10001,7500.0
10001,2850.0
10001,3250.0
10001,5000.0
10001,3400.0
10001,4495.0
10001,7450.0
10001,3330.0
10001,14500.0
10001,3290.0
10001,3650.0
10001,21000.0
10001,4275.0
10001,5200.0
10001,3273.0
10001,8500.0
10001,7321.0
10001,7200.0
10001,4900.0
10001,8000.0
10001,6500.0
10001,4650.0
10001,6850.0
10001,6605.0
10001,4149.0
10001,4704.0
10001,5200.0
10001,4895.0
10001,5023.0
10001,5995.0
10001,4495.0
10001,4195.0
10001,4595.0
10001,9500.0
10001,6490.0
10001,6000.0
10001,3850.0
10001,5750.0
10001,14000.0
10001,3900.0
10001,3250.0
10001,12000.0
10001,4795.0
10001,3600.0
10001,3295.0
10001,5900.0
10001,5950.0
10001,4825.0
10001,3600.0
10001,6595.0
10001,4909.0
10001,7917.0
10001,4185.0
10001,4455.0
10001,2750.0
10001,9999.0
10001,6500.0
10001,3400.0
10001,4195.0
10001,4100.0
10001,9550.0
10001,2350.0
10001,4200.0
10001,4250.0
10001,5742.0
10001,4195.0
10001,3500.0
10001,16000.0
10001,6720.0
10001,6500.0
10001,4100.0
10001,3500.0
10001,3000.0
10001,2492.0
10001,4800.0
10001,4295.0
10001,5395.0
10001,2595.0
10001,3350.0
10001,2750.0
10001,4400.0
10001,7500.0
10001,11000.0
10001,2800.0
10001,4250.0
10001,4200.0
10001,4250.0
10001,5800.0
10001,2750.0
10001,5200.0
10001,27500.0
10001,4457.0
10001,4999.0
10001,4000.0
10001,11000.0
10001,2995.0
10001,2700.0
10001,4200.0
10001,5400.0
10001,6170.0
